Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_signal,MACD_hist,Upper_BB,Middle_BB,Lower_BB
2010-01-01,1.0341999530792236,1.038100004196167,1.0339000225067139,1.0339000225067139,1.0339000225067139,0,,,,,,,
2010-01-04,1.0360000133514404,1.0414999723434448,1.0267000198364258,1.029099941253662,1.029099941253662,0,,,,,,,
2010-01-05,1.0289000272750854,1.0357999801635742,1.0250999927520752,1.0336999893188477,1.0336999893188477,0,,,,,,,
2010-01-06,1.0334999561309814,1.0377999544143677,1.024999976158142,1.0276000499725342,1.0276000499725342,0,,,,,,,
2010-01-07,1.027500033378601,1.0367000102996826,1.0241999626159668,1.0335999727249146,1.0335999727249146,0,,,,,,,
2010-01-08,1.033400058746338,1.0382000207901,1.0218000411987305,1.0235999822616577,1.0235999822616577,0,,,,,,,
2010-01-11,1.020300030708313,1.020300030708313,1.013100028038025,1.016700029373169,1.016700029373169,0,,,,,,,
2010-01-12,1.016700029373169,1.0205999612808228,1.0147000551223755,1.0188000202178955,1.0188000202178955,0,,,,,,,
2010-01-13,1.0187000036239624,1.021399974822998,1.0139000415802002,1.0176000595092773,1.0176000595092773,0,,,,,,,
2010-01-14,1.0175000429153442,1.0227999687194824,1.0157999992370605,1.0185999870300293,1.0185999870300293,0,,,,,,,
2010-01-15,1.0185999870300293,1.0282200574874878,1.018399953842163,1.024899959564209,1.024899959564209,0,,,,,,,
2010-01-18,1.0263999700546265,1.0289000272750854,1.0233999490737915,1.0235999822616577,1.0235999822616577,0,,,,,,,
2010-01-19,1.0241999626159668,1.0351999998092651,1.0230000019073486,1.0326000452041626,1.0326000452041626,0,,,,,,,
2010-01-20,1.0326999425888062,1.0461000204086304,1.0322999954223633,1.0435999631881714,1.0435999631881714,0,65.75034252415998,,,,,,
2010-01-21,1.0434999465942383,1.049299955368042,1.0405999422073364,1.041599988937378,1.041599988937378,0,62.93067457544294,,,,,,
2010-01-22,1.0425000190734863,1.0440000295639038,1.0374000072479248,1.0418000221252441,1.0418000221252441,0,63.10111614033515,,,,,,
2010-01-25,1.0410000085830688,1.0422999858856201,1.0367000102996826,1.0399999618530273,1.0399999618530273,0,60.409365776680545,,,,,,
2010-01-26,1.0399999618530273,1.0488799810409546,1.0377000570297241,1.0458999872207642,1.0458999872207642,0,65.59052875439053,,,,,,
2010-01-27,1.0458999872207642,1.0520999431610107,1.044700026512146,1.0497000217437744,1.0497000217437744,0,68.45402788913137,,,,,,
2010-01-28,1.0498000383377075,1.0547000169754028,1.0477999448776245,1.051800012588501,1.051800012588501,0,69.94264942121598,,,,1.0539081620729938,1.0324349999427795,1.0109618378125653
2010-01-29,1.051800012588501,1.063099980354309,1.048200011253357,1.0607999563217163,1.0607999563217163,0,75.31821356009543,,,,1.0585659910523781,1.0337799966335297,1.0089940022146813
